tamanho_vetor,tipo_dados,algoritmo,tempo_execucao
10000,ORDEM_CRESC,MERGE_SORT,0:00:00.010061
10000,ORDEM_CRESC,QUICK_SORT,0:00:01.534238
100000,ORDEM_CRESC,BUBBLE_SORT,0:05:34.823349
100000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.003424
100000,ORDEM_CRESC,SELECAO,0:02:04.765818
100000,ORDEM_CRESC,INSERCAO,0:00:00.005082
100000,ORDEM_CRESC,MERGE_SORT,0:00:00.121791
100000,ORDEM_CRESC,QUICK_SORT,0:02:37.218101
1000,ORDEM_DECRESC,BUBBLE_SORT,0:00:00.046712
1000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.032273
1000,ORDEM_DECRESC,SELECAO,0:00:00.010298
1000,ORDEM_DECRESC,INSERCAO,0:00:00.025306
1000,ORDEM_DECRESC,MERGE_SORT,0:00:00.000763
1000,ORDEM_DECRESC,QUICK_SORT,0:00:00.015531
10000,ORDEM_DECRESC,BUBBLE_SORT,0:00:05.028987
10000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:03.520011
10000,ORDEM_DECRESC,SELECAO,0:00:01.134234
10000,ORDEM_DECRESC,INSERCAO,0:00:02.906269
10000,ORDEM_DECRESC,MERGE_SORT,0:00:00.010119
10000,ORDEM_DECRESC,QUICK_SORT,0:00:01.565887
100000,ORDEM_DECRESC,BUBBLE_SORT,0:08:38.388530
100000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:06:01.089904
100000,ORDEM_DECRESC,SELECAO,0:02:06.256796
100000,ORDEM_DECRESC,INSERCAO,0:05:02.334495
100000,ORDEM_DECRESC,MERGE_SORT,0:00:00.127811
100000,ORDEM_DECRESC,QUICK_SORT,0:02:38.378813
1000,ORDEM_CRESC,BUBBLE_SORT,0:00:00.029186
1000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000072
1000,ORDEM_CRESC,SELECAO,0:00:00.010979
1000,ORDEM_CRESC,INSERCAO,0:00:00.000079
