operacao;algoritmo;tempo_execucao
INSERCAO;AVL;0.417636
INSERCAO;AVL;0.419591
INSERCAO;AVL;0.443417
INSERCAO;AVL;0.469624
INSERCAO;AVL;0.437347
INSERCAO;AVL;0.448343
INSERCAO;AVL;0.38996
BUSCA;ARVORE_BUSCA_BINARIA;0.015105
BUSCA;ARVORE_BUSCA_BINARIA;0.015122
BUSCA;ARVORE_BUSCA_BINARIA;0.012204
BUSCA;ARVORE_BUSCA_BINARIA;0.009515
BUSCA;ARVORE_BUSCA_BINARIA;0.008694
BUSCA;ARVORE_BUSCA_BINARIA;0.009596
BUSCA;ARVORE_BUSCA_BINARIA;0.011155
BUSCA;ARVORE_BUSCA_BINARIA;0.008745
BUSCA;ARVORE_BUSCA_BINARIA;0.010022
BUSCA;ARVORE_BUSCA_BINARIA;0.008519
BUSCA;AVL;0.012135028839111328
BUSCA;AVL;0.010010719299316406
BUSCA;AVL;0.012777566909790039
BUSCA;AVL;0.011935949325561523
BUSCA;AVL;0.009637832641601562
BUSCA;AVL;0.009094953536987305
BUSCA;AVL;0.008621931076049805
BUSCA;AVL;0.010079383850097656
BUSCA;AVL;0.008548974990844727
BUSCA;AVL;0.009499311447143555
